Persons arrested for Domestic Cruelty	Persons arrested for assualt to Outrage Modesty	Persons arrested for Kidnap	Persons arrested for Rape	Sex ratio	Literacy rate	STATE/UT
21251	4834	1764	1664	993	67.02	ANDHRA PRADESH
26	77	49	47	938	65.38	ARUNACHAL PRADESH
5435	2250	2689	1626	958	72.19	ASSAM
6963	278	4639	1327	918	61.8	BIHAR
2581	1891	441	1214	991	70.28	CHHATTISGARH
54	42	12	61	973	88.7	GOA
19982	1118	1939	647	919	78.03	GUJARAT
3606	698	660	940	879	75.55	HARYANA
505	317	131	259	972	82.8	HIMACHAL PRADESH
634	2814	884	388	  889 	67.16	JAMMU & KASHMIR
2207	355	1000	780	948	66.41	JHARKHAND
6317	3982	1035	842	973	75.36	KARNATAKA
6923	4167	253	1259	1084	94	KERALA
11104	8085	1648	4822	931	69.32	MADHYA PRADESH
27379	4885	1775	2591	929	82.34	MAHARASHTRA
21	34	101	46	992	79.21	MANIPUR
14	45	6	182	989	74.43	MEGHALAYA
7	82	3	122	976	91.33	MIZORAM
0	16	7	26	931	79.55	NAGALAND
4699	6060	1347	1666	979	72.87	ODISHA
2288	413	731	895	895	75.84	PUNJAB
9949	2658	1565	1807	928	66.11	RAJASTHAN
6	17	8	29	890	81.42	SIKKIM
4019	2091	1557	962	996	80.09	TAMIL NADU
1147	375	120	202	960	87.22	TRIPURA
36115	5143	20565	3593	912	67.68	UTTAR PRADESH
484	199	242	184	963	78.82	UTTARAKHAND
22911	2879	3352	1963	950	76.26	WEST BENGAL
4	20	7	17	876	86.63	A & N ISLANDS
86	54	48	34	818	86.05	CHANDIGARH
0	2	11	5	774	76.24	D & N HAVELI
11	0	0	10	618	87.1	DAMAN & DIU
1026	939	478	892	868	86.21	DELHI
1	0	0	0	946	91.85	LAKSHADWEEP
7	7	16	15	1037	85.85	PUDUCHERRY